theme_name,store_name,location,genre,min_people,max_people,difficulty,fear,rating,time,address,reservation_link
"바야흐로, 여름이었다",드림이스케이프 건대점,건대,"청춘, 미스터리",2,6,3,3,97%,80,서울특별시 광진구 아차산로 238 지하 1층,https://booking.naver.com/booking/12/bizes/843881/items/6627331?isProgramBizItem=false&startDateTime=2025-06-01T00%3A00%3A00%2B09%3A00
Film by steve,키이스케이프 메모리컴퍼니,강남 ,잠입,2,6,4,0,96%,80,서울 강남구 봉은사로2길 7 지하1층,https://www.keyescape.com/reservation1.php?zizum_num=18&theme_num=58&theme_info_num=35
머니머니패키지,키이스케이프 로그인1,강남,오락,2,6,5,1,95%,65,서울 강남구 강남대로98길 16 파빌리온빌딩 4층,https://www.keyescape.com/reservation1.php?zizum_num=19&theme_num=60&theme_info_num=38
층간소음,제로월드 홍대점,홍대,공포,2,6,2,5,96%,65,서울 마포구 잔다리로6길 20-9 지하 2층,https://zerohongdae.com/reservation/60
배드타임,오아시스 뮤지엄,홍대,공포,3,6,1,5,93%,75,서울 마포구 독막로9길 18 지하1층,https://oasismuseum.com/ticket?date=2025-06-01&id=6
두껍아 두껍아 헌집줄게 새집다오,토끼굴,홍대,"미스터리, 공포",2,6,3,4,94%,75,서울특별시 마포구 와우산로 122 B1층,https://www.rabbitholeescape.co.kr/reservation
ALIVE,제로월드 홍대점,홍대,생존,4,5,4,3,94%,80,서울 마포구 잔다리로6길 20-9 지하 2층,https://zerohongdae.com/reservation/60
내방,키이스케이프 스테이션,강남,코믹,2,6,4,2,93%,65,"서울 서초구 강남대로69길 11 3층 301, 302호",https://www.keyescape.com/reservation1.php?zizum_num=22&theme_num=66&theme_info_num=44
WANNA GO HOME,키이스케이프 우주라이크,강남,감성,2,6,4,0,93%,70,서울 강남구 테헤란로6길 46 테라빌 지하1층,https://www.keyescape.com/reservation1.php?zizum_num=16&theme_num=56&theme_info_num=33
And I met E,비트포비아 홍대던전3,홍대,감성,2,6,4,0,93%,70,서울 마포구 와우산로29길 21 3층,https://xdungeon.net/layout/res/home.php?go=rev.main&s_zizum=5
